X1 t.l t.u ic rc
-1.61 0 1 1 0
-1.61 0 1 1 0
-1.61 0 1 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 1 2 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 2 3 1 0
-1.61 3 4 1 0
-1.61 3 4 1 0
-1.61 3 4 1 0
-1.61 3 4 1 0
-1.61 3 4 1 0
-1.61 3 4 1 0
-1.61 3 4 1 0
-1.61 4 5 1 0
-1.61 4 5 1 0
-1.61 4 5 1 0
-1.61 4 5 1 0
-1.61 5 6 1 0
-1.61 5 6 1 0
-1.61 5 6 1 0
-1.61 6 7 1 0
-1.61 6 7 1 0
-1.61 7 8 1 0
-1.61 11 12 1 0
-1.61 12 13 1 0
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.61 13 -1 0 1
-1.14 0 1 1 0
-1.14 0 1 1 0
-1.14 0 1 1 0
-1.14 0 1 1 0
-1.14 0 1 1 0
-1.14 0 1 1 0
-1.14 0 1 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 1 2 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 2 3 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 3 4 1 0
-1.14 4 5 1 0
-1.14 4 5 1 0
-1.14 4 5 1 0
-1.14 5 6 1 0
-1.14 5 6 1 0
-1.14 6 7 1 0
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-1.14 13 -1 0 1
-0.69 0 1 1 0
-0.69 0 1 1 0
-0.69 0 1 1 0
-0.69 0 1 1 0
-0.69 0 1 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 1 2 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 2 3 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 3 4 1 0
-0.69 4 5 1 0
-0.69 4 5 1 0
-0.69 4 5 1 0
-0.69 4 5 1 0
-0.69 5 6 1 0
-0.69 5 6 1 0
-0.69 6 7 1 0
-0.69 7 8 1 0
-0.69 13 -1 0 1
